indiv.exp time_exp state ensembl_gene_id
0.0333864058336597 1e-06 NULL ENSG00000121410
0.370712564754338 0.0916314287187901 NULL ENSG00000148584
0.0359774172692972 0.00234188815854852 NULL ENSG00000175899
0.405740065278274 0.0953624925604506 NULL ENSG00000128274
0.0411547330573515 0.0094571902790352 NULL ENSG00000118017
0.142488730560342 1e-06 NULL ENSG00000094914
0.149934552613677 0.204174497501828 NULL ENSG00000081760
0.0285710808913262 0.0242068773514619 NULL ENSG00000114771
0.366385775535272 0.118161961946872 NULL ENSG00000109576
0.0925426135006245 0.0725874568957952 NULL ENSG00000158122
0.0597130312241667 1e-06 NULL ENSG00000103591
0.224885005573441 0.00675993800069995 NULL ENSG00000115977
0.092436830033581 0.175088564321149 NULL ENSG00000087884
0.461076480247176 0.0170877755048168 NULL ENSG00000127837
0.260954913715371 1e-06 NULL ENSG00000129673
0.00686391278988072 0.00149443130462813 NULL ENSG00000131043
0.335330001690151 0.0415572586584441 NULL ENSG00000205002
0.154073956921351 1e-06 NULL ENSG00000090861
0.341504592468886 0.022010620934456 NULL ENSG00000124608
1e-06 0.0182478590238764 NULL ENSG00000266967
0.165648255227512 1e-06 NULL ENSG00000157426
0.303455985948407 0.013099693727027 NULL ENSG00000149313
0.277732846431866 0.123415382707866 NULL ENSG00000008311
0.259737175104974 0.234290758550077 NULL ENSG00000183044
0.315431079117758 0.0900177401545813 NULL ENSG00000165029
0.15192797885795 0.0260849031619399 NULL ENSG00000144452
0.218040037348003 0.0222662892351952 NULL ENSG00000179869
0.62174847403059 0.0121117148704921 time_dominant ENSG00000107331
0.424323582051283 0.0386457919519019 NULL ENSG00000167972
0.272737676918087 1e-06 NULL ENSG00000198691
0.201445275855695 0.0246570622367563 NULL ENSG00000154265
0.216666503026036 0.0958820247595671 NULL ENSG00000154262
0.262305308893718 1e-06 NULL ENSG00000064687
0.123596516968049 0.145736990420616 NULL ENSG00000154258
0.276169252209964 0.0616081128275457 NULL ENSG00000135776
0.171497865967613 0.120477468156931 NULL ENSG00000005471
1e-06 1e-06 NULL ENSG00000004846
